Strategy;Type;Ticker;Product;Qty;Open;Close;CCY
GB_Retail;Short;LON:DEB;Debenhams;20;2017-03-28;2019-04-16;GBP
GB_Retail;Short;LON:MTC;Mothercare;20;2017-03-28;OPEN;GBP
GB_Retail;Short;LON:MKS;M&S;10;2017-03-28;OPEN;GBP
GB_Retail;Short;LON:BME;B&M;5;2017-03-28;OPEN;GBP
GB_Mining;Long;LON:RIO;Rio Tinto;1;2018-03-28;OPEN;GBP
GB_Mining;Long;LON:AAL;Anglo American;2;2018-03-28;OPEN;GBP
GB_Mining;Long;LON:GLEN;Glencore;1;2018-03-28;OPEN;GBP
FAANGS_Short;Short;NASDAQ:FB;Facebook;7;2018-07-30;OPEN;USD
FAANGS_Short;Short;NASDAQ:AMZN;Amazon;1;2018-07-30;OPEN;USD
FAANGS_Short;Short;NASDAQ:AAPL;Apple;6;2018-07-30;OPEN;USD
FAANGS_Short;Short;NASDAQ:NFLX;Netflix;3;2018-07-30;OPEN;USD
FAANGS_Short;Short;NASDAQ:GOOGL;Alphabet;1;2018-07-30;OPEN;USD
